IC1	IC2
Cy74_CD45_H08_S476_comb	-0.164436040022936	0.0477825319733945
Cy74_CD45_A06_S390_comb	-0.0652049730229358	0.109588459973394
Cy74_CD45_C07_S415_comb	-0.154738760022936	0.165371009973395
Cy71_CD45_A09_S489_comb	-0.107800900022936	-0.159491860026606
Cy71_CD45_D02_S518_comb	-0.157755880022936	-0.0012304982266055
cy82.CD45.pos.1.G02.S554.comb	-0.228667150022936	-0.160263830026605
cy82.CD45.pos.3.B12.S24.comb	-0.0742919240229358	-0.331128190026605
cy53.1.CD45.pos.2.B03.S975.comb	-0.283546230022936	-0.0647912950266055
cy53.1.CD45.pos.1.A05.S5.comb	-0.251132280022936	-0.113993430026606
cy82.CD45.pos.2.D09.S525.comb	0.00453389577706422	-0.156006630026606
cy53.1.CD45.pos.2.B09.S981.comb	-0.186392950022936	-0.101126960026606
cy82.CD45.pos.2.C04.S508.comb	-0.213910440022936	0.424440559973395
cy58.1.CD45.pos.A09.S585.comb	0.105104129977064	0.243581679973394
cy53.1.CD45.pos.2.C12.S996.comb	-0.388197070022936	0.0688462279733945
cy53.1.CD45.pos.2.C10.S994.comb	-0.295249010022936	-0.0466439950266055
cy74.CD45.pos.G10.S754.comb	-0.200437200022936	0.0355417539733945
cy53.1.CD45.pos.1.A03.S3.comb	-0.194447270022936	-0.0875544680266055
cy53.1.CD45.pos.2.D09.S1005.comb	-0.0579918820229358	0.0480158549733945
cy58.1.CD45.pos.C08.S608.comb	-0.0962259570229358	-0.111215190026606
cy74.CD45.pos.A11.S683.comb	-0.326732110022936	-0.0558100600266055
cy53.1.CD45.pos.1.G08.S80.comb	-0.195121030022936	0.0125982719733945
cy53.1.CD45.pos.2.A10.S970.comb	0.194998059977064	0.422402449973394
cy53.1.CD45.pos.2.H05.S1049.comb	-0.0621944400229358	-0.128532820026605
Cy59_83	0.116341079977064	-0.0690699760266055
CY65_NEG_A_AACATAAT_AGGATCTA	-0.0725372660229358	-0.248646110026605
cy84.Met.CD45.pos.H09.S957.comb	-0.386685220022936	0.0663653479733945
cy84.Met.CD45.pos.A01.S865.comb	-0.258366240022936	-0.0065406229266055
cy88_cd_45_pos_G09_S465_comb	0.245154579977064	-0.247762770026605
cy88_cd_45_pos_3_F01_S637_comb	0.129488109977064	-0.113981100026606
cy88_cd_45_pos_C01_S409_comb	0.188464719977064	-0.197591860026606
cy88_cd_45_pos_G07_S463_comb	0.308151179977064	-0.195512790026605
cy88_cd_45_pos_D09_S429_comb	0.314793899977064	-0.0783158220266055
cy88_cd_45_pos_E06_S438_comb	0.130532399977064	0.0445914089733945
cy60_1_cd_45_pos_3_E11_S347_comb	0.197445439977064	0.404564869973395
cy88_cd_45_pos_3_F02_S638_comb	0.284497479977064	-0.102527710026606
cy60_1_cd_45_pos_3_G12_S372_comb	0.0162545239770642	0.0214214059733945
CY89A_CD45_POS_10_C11_S227_comb	-0.0841959650229358	-0.0442866760266055
CY89A_Core_15_B02_S14_comb	-0.0574961450229358	-0.103276380026606
CY89A_CD45_POS_6_C10_S130_comb	-0.121655500022936	0.0194246669733945
CY89A_CD45_POS_4_D07_S427_comb	-0.0472313880229358	-0.0775886700266055
CY89A_CD45_POS_6_F06_S162_comb	-0.0194167250229358	-0.119102220026606
CY89A_CD45_POS_4_F04_S448_comb	-0.284253790022936	0.125406839973394
CY89A_CD45_POS_4_F09_S453_comb	-0.0272231660229358	-0.133099410026605
CY89A_CD45_POS_6_A05_S101_comb	0.104019559977064	-0.120922870026606
CY89A_CD45_POS_6_H10_S190_comb	-0.237225460022936	0.0402201869733945
CY89A_Core_15_G09_S81_comb	-0.127566160022936	0.0404422989733945
CY89A_CD45_POS_4_D01_S421_comb	0.0162640049770642	-0.0912229030266055
CY89A_CD45_POS_10_H11_S287_comb	-0.0486481660229358	-0.0307474770266055
CY89A_CD45_POS_4_G06_S462_comb	0.224032619977064	-0.0547097580266055
CY89A_CD45_POS_6_F03_S159_comb	-0.0964692830229358	0.119452429973394
CY89A_CD45_POS_6_A04_S100_comb	0.0212756819770642	-0.101145520026606
CY89A_CD45_POS_4_C10_S418_comb	0.00947633987706422	-0.125644900026605
CY89A_CD45_POS_6_D11_S143_comb	-0.322996560022936	0.116191769973394
CY89A_Core_15_F10_S70_comb	0.108298829977064	-0.176901930026606
CY89A_CD45_POS_6_B04_S112_comb	0.118528119977064	-0.0510319550266055
CY89COREQ1_G02_S362_comb	-0.0319765450229358	-0.120802880026606
CY89COREQ1_A01_S289_comb	0.126916599977064	-0.248381880026605
CY75_1FNA_A08_S488_comb	-0.0634766900229358	0.0350369469733945
CY89COREQ1_G08_S368_comb	0.0564865669770642	-0.188493030026606
CY89FNA_E03_S243_comb	-0.0912818740229358	-0.0869718330266055
CY89COREQ1_D04_S328_comb	-0.180050100022936	0.0556813509733945
CY89COREQ1_F06_S354_comb	0.102104949977064	-0.138271920026605
cy88_cd45pos_5_C05_S221_comb	0.228673869977064	-0.172040680026605
cy88_cd45pos_5_D01_S229_comb	0.244982339977064	-0.170198350026605
cy94_cd45pos_4_G10_S82_comb	-0.162567830022936	-0.0043132254266055
cy88_cd45pos_5_G03_S267_comb	0.225226259977064	0.171277039973394
CY88CD45_150813_C03_S315_comb	0.215153879977064	-0.322354680026606
CY88CD45POS_2_F04_S448_comb	0.234298969977064	0.165382889973395
CY88CD45POS_7_F09_S261_comb	0.234514759977064	0.185610059973394
CY88CD45_150813_D11_S335_comb	0.230105569977064	-0.0025604096266055
CY88CD45_150813_H07_S379_comb	0.236874879977064	-0.110235000026606
CY88CD45POS_2_D01_S421_comb	0.207483109977064	-0.225916320026605
CY88CD45POS_2_F06_S450_comb	0.175590779977064	0.184860209973395
CY88CD45_150813_F06_S354_comb	0.201516449977064	-0.170973160026606
CY88CD45_150813_C02_S314_comb	0.157866229977064	0.454347579973394
CY88CD45_150813_G11_S371_comb	0.214245429977064	-0.0147631180266055
CY88CD45_150813_E09_S345_comb	0.246821569977064	-0.130434050026605
CY88CD45_150813_G06_S366_comb	0.0398175459770642	-0.0779530780266055
CY88CD45POS_2_D04_S424_comb	0.132292529977064	0.382920839973394
CY88CD45POS_2_H09_S477_comb	0.228635939977064	0.0703088119733945
CY88CD45_150813_G12_S372_comb	0.188642769977064	0.0375402029733945
CY88CD45POS_7_C01_S217_comb	0.123294719977064	-0.209317730026606
CY88CD45POS_2_G08_S464_comb	0.129758619977064	0.156581779973395
CY88CD45POS_7_B11_S215_comb	0.240251239977064	-0.0934487230266055
CY88CD45_150813_F07_S355_comb	0.233982369977064	-0.120435560026606
CY88CD45POS_2_C01_S409_comb	0.207456359977064	-0.268502700026605
CY88CD45POS_7_F04_S256_comb	0.140902299977064	0.272875729973394
CY88CD45POS_7_E09_S249_comb	-0.0619073860229358	0.0297599969733945
CY88CD45POS_2_B07_S403_comb	0.155674129977064	0.486691939973394
CY88CD45_150813_D03_S327_comb	0.223562779977064	0.0912420999733945
CY88CD45_150813_E02_S338_comb	0.195723469977064	-0.152735100026606
CY84_PRIM_POS_All_6_B03_S399_comb	-0.289978640022936	0.157566319973395
CY84_PRIM_POS_All_6_G06_S462_comb	-0.339127710022936	0.201962949973395
CY84_PRIM_POS_All_7_H09_S285_comb	-0.327444090022936	0.189094909973395
CY84_PRIM_POS_All_8_B11_S119_comb	-0.0130014350229358	-0.138535930026605
CY84_PRIM_POS_All_8_B06_S114_comb	-0.247895060022936	0.327078219973394
CY84_PRIM_POS_All_7_F12_S264_comb	-0.186870830022936	0.250082199973394
CY84_PRIM_POS_All_8_D04_S136_comb	-0.00409932802293578	0.215447499973394
CY84_PRIM_POS_All_6_C05_S413_comb	0.0292281979770642	0.0014367884733945
CY84_PRIM_POS_All_6_C10_S418_comb	-0.124414850022936	0.146595059973395
CY84_PRIM_POS_All_8_H07_S187_comb	-0.176429410022936	0.0217069209733945
CY84_PRIM_POS_All_6_G08_S464_comb	0.00199185897706422	-0.0510762050266055
CY84_PRIM_POS_All_6_A11_S395_comb	-0.259608850022936	0.364482989973395
CY94_CD45NEG_CD90POS_2_E06_S54_comb	0.0740367129770642	0.229658069973394
CY84_PRIM_POS_All_6_D12_S432_comb	0.0750931069770642	-0.131291620026605
CY84_PRIM_POS_All_7_B04_S208_comb	-0.184985690022936	-0.0348223970266055
CY84_PRIM_POS_All_7_E12_S252_comb	0.0549733259770642	-0.0380468560266055
CY84_PRIM_POS_All_8_C07_S127_comb	-0.00184452572293578	-0.0053812245266055
CY84_PRIM_POS_All_7_D01_S229_comb	-0.00843347652293578	-0.0258031180266055
