IC1	IC2	IC3
CY58_1_CD45_F08_S1028_comb	-0.190547269864286	0.00483062660714286	0.33834057927381
CY58_1_CD45_A05_S965_comb	-0.169524349864286	-0.121979489892857	-0.22160810072619
CY58_1_CD45_D01_S997_comb	-0.00279962886428572	0.125664250107143	0.21076188927381
cy82.CD45.pos.3.A07.S7.comb	-0.252439059864286	-0.0701214658928571	0.0674001072738095
cy82.CD45.pos.3.B08.S20.comb	-0.302608949864286	-0.274255569892857	-0.0469511617261905
cy53.1.CD45.pos.2.A04.S964.comb	0.257204030135714	-0.232267879892857	-0.17417381072619
cy53.1.CD45.pos.1.D01.S37.comb	0.229860490135714	-0.206957779892857	-0.14667089072619
cy53.1.CD45.pos.2.B08.S980.comb	0.155996850135714	-0.223688499892857	-0.0306758147261905
cy53.1.CD45.pos.1.F04.S64.comb	-0.0617618798642857	-0.183464849892857	-0.0904110767261905
cy80.CD45.pos.PD1.pos.H01.S181.comb	-0.0712247948642857	0.0549574091071429	-0.315209020726191
cy53.1.CD45.pos.1.A02.S2.comb	-0.0841864818642857	-0.307219999892857	-0.0958304437261905
cy58.1.CD45.pos.C04.S604.comb	0.264089480135714	-0.223759339892857	-0.0964152437261905
cy53.1.CD45.neg.G06.S366.comb	0.0685572491357143	-0.0398962828928571	0.0676021642738095
cy53.1.CD45.pos.1.A08.S8.comb	-0.115886649864286	-0.282512959892857	-0.00907959872619048
cy72.CD45.pos.H08.S956.comb	-0.0989077808642857	-0.171242389892857	-0.38255478072619
cy53.1.CD45.pos.2.G09.S1041.comb	0.400636120135714	-0.188839789892857	-0.20865815072619
cy53.1.CD45.pos.2.D03.S999.comb	0.244623170135714	-0.102847999892857	0.0427258332738095
cy53.1.CD45.pos.2.A06.S966.comb	0.131232320135714	-0.160148989892857	-0.00636379822619048
cy74.CD45.pos.A10.S682.comb	-0.00807501056428571	-0.160496079892857	-0.0360146877261905
cy79.p3.CD45.pos.PD1.neg.E09.S153.comb	0.0614520761357143	-0.0595799338928571	0.12737690927381
Cy67.CD45pos.S2.C4_S28	-0.150062639864286	-0.360270299892857	0.57661837927381
cy80.CD45.neg.D01.S421.comb	-0.0453275168642857	-0.156930599892857	0.0601685042738095
cy60_1_cd_45_pos_3_E10_S346_comb	0.349836680135714	0.205571510107143	-0.0554507167261905
cy60_1_cd_45_pos_3_A03_S291_comb	-0.235784389864286	0.157752670107143	0.0637087142738095
cy60_1_cd_45_pos_3_B01_S301_comb	0.127741910135714	0.266410100107143	0.0909949182738095
cy60_1_cd_45_pos_3_G01_S361_comb	0.143601990135714	0.0599796401071429	0.0584031372738095
cy88_cd_45_pos_F02_S446_comb	-0.269264139864286	0.252508060107143	-0.0797022607261905
cy60_1_cd_45_pos_3_A07_S295_comb	-0.183707369864286	0.349814550107143	-0.443804240726191
cy88_cd_45_pos_3_F05_S641_comb	-0.247818069864286	0.0813084161071429	-0.31035216072619
cy88_cd_45_pos_D01_S421_comb	-0.0399829658642857	0.183761070107143	-0.0107515877261905
cy88_cd_45_pos_3_F11_S647_comb	0.350686810135714	0.262540840107143	0.14799270927381
cy88_cd_45_pos_H05_S473_comb	-0.0598464258642857	0.178357460107143	-0.0338989437261905
cy60_1_cd_45_pos_3_C04_S316_comb	0.281953920135714	0.177166850107143	0.0474067612738095
CY89FNA_A03_S195_comb	-0.149663319864286	0.0944989691071429	0.19351276927381
CY88CD45POS_2_F07_S451_comb	-0.0590051638642857	0.142552560107143	0.0139095562738095
CY88CD45_150813_D05_S329_comb	0.123529710135714	0.147884660107143	0.17184691927381
CY88CD45POS_2_G06_S462_comb	-0.159739299864286	0.197564840107143	0.0283075522738095
CY94CD45POS_1_E04_S148_comb	-0.108357689864286	0.0684736441071429	-0.0230510407261905
CY88CD45POS_2_F09_S453_comb	0.135671140135714	0.0883924861071429	-0.19573299072619
CY84_PRIM_POS_All_7_E07_S247_comb	-0.239372439864286	0.0427977781071429	0.19741571927381
CY84_PRIM_POS_All_7_B06_S210_comb	-0.148002529864286	0.151574250107143	0.26372652927381
CY84_PRIM_POS_All_8_E10_S154_comb	0.127221870135714	0.232117560107143	0.24514086927381
