IMMUNOSUPPRESSIVE_CYTOKINE_PATHWAYS	NK_INHIBITING_RECEPTORS	IMMUNOSUPPPRESSIVE_CORE_PATHWAYS	TUMOR_GROWTH	RECRUITMENT_OF_IMMUNE_CELLS	IMMUNOSUPPRESSIVE_CYTOKINE_EXPRESSION	NO_ROS_PRODUCTION	NK_ACTIVATING_RECEPTORS	FC_RECEPTORS	IMMUNOSUPPRESSIVE_CHEKPOINTS	EXOCYTOSIS_AND_PHAGOCYTOSIS	IMMUNOSTIMULATORY_CHEKPOINTS	ANTIGEN_PRESENTATION	IMMUNOSTIMULATORY_CYTOKINE_PATHWAYS	INTEGRINS	MIRNA_TF_IMMUNOSTIMULATORY	DANGER_SIGNAL_PATHWAYS	MIRNA_TF_IMMUNOSUPPRESSIVE	IMMUNOSTIMULATORY_CYTOKINE_EXPRESSION	IMMUNOSTIMULATORY_CORE_PATHWAYS
CD36	CD244	ABL1	ADM	CX3CR1	CSF1	ARG1	CD244	CD247	ICOSLG	ACTR2	CD40	AP2A1	BIRC2	ITGAL	HLX	CX3CR1	BCL3	CSF2	AKT1
CD47	CDH1	ALOX15	ANGPT1	C5AR1	GSF3	ARG2	SH3BP2	CRP	CD276	ACTR3	CD70	AP2A2	BIRC3	ITGAM	CREBBP	C1QA	CEBPA	HMGB1	AKT2
CD74	CDH2	ADCY1	CTSG	C5AR2	HDC	CYBA	NCR3LG1	FCAR	VTCN1	ARPC1A	CD80	AP2B1	CREBBP	ITGAX	ETS1	C1QB	CEBPB	IFNA1	AKT3
CSF1	CDH4	ADCY2	CXCL1	CCL17	IDO1	CYBB	BAG6	FCER1G	TNFRSF14	ARPC1B	CD86	AP2M1	CD14	ITGB2	IRF1	C1QC	CEBPD	IFNA2	ARF6
CSF1R	CLEC2D	ADCY3	EGF	CCL18	IL10	MAOA	CD247	FGR	LGALS9	ARPC2	ICAM1	ARHGEF2	CSF2	CD226	IRF3	C3	EGLN1	IFNA4	BCAR1
CSF2RB	HLA-B	ADCY8	ELANE	CCL19	IL13	NCF1	CD48	FCER1A	CD274	ARPC3	ICOSLG	ARL14	CSF2RA	FN1	IRF5	C4B	EGLN2	IFNA5	CBL
CSF3R	HLA-C	ADCY4	FGF2	CCL2	IL1RN	NCF2	CLEC2B	FCER2	PDCD1LG2	ARPC4	MARCH1	ARL14EP	CSF2RB	ICAM1	IRF8	CALR	FOS	IFNA6	CREBBP
FLT1	HLA-E	ADCY5	HGF	CCL22	IL23A	NCF4	DAP10	FCGR1A		ARPC5	TNFSF4	ARL8B	FLT3	ICAM2	IRF9	ITGAM	GATA1	IFNA7	CDC42
GSF3	HLA-G	ADCY6	IL1A	CCL24	IL4	NOS2	TYROBP	FCGR1B		ACTA1	SLC3A2	ACTA1	FLT3LG	ICAM3	NFATC1	ITGAX	HIST1H3A	IFNA8	PPP3CA
IL10	IGH	ADCY7	IL1B	CCL3	IL5	RAC1	FCER1G	FCGR3A		ACTA2	TNFSF9	ACTA2	HDAC1	ITGA4	NFATC3	ITGB2	HIST1H3B	IFNA10	PPP3CB
IL10RA	IGL	ADCY9	CXCL8	CCL4	IL6	RAC2	FYN	FCGR3B		ACTB		ACTB	HDAC2	ITGA5	NFATC2	CD36	HIST1H3C	IFNA13	PPP3CC
IL10RB	IGK	ADCY10	IL8	CCL5	INHBA		GRB2	FCGR2A		ACTC1		ACTC1	HDAC3	ITGAV	NFATC4	CX3CL1	HIST1H3D	IFNA14	PPP3R1
IL13	KIR2DL1	CSK	MMP1	CCL7	LGALS3		HLA-C	FCGR2C		ACTG1		ACTG1	HDAC4	ITGB3	NFAT5	GAS6	HIST1H3E	IFNA16	PPP3PR2
IL13RA1	KIR2DL2	DUSP1	MMP10	CCR2	MIF		HLA-E	HCK		CFL1		B2M	HDAC5	ITGB5	SP1	HAVCR1	HIST1H3F	IFNA17	PPP3R2
IL13RA2	KIR2DL3	CDH1	MMP11	ITGAM	PTGS2		KIR2DS2	IGH		MYL6		CALR	HDAC6	PRKCA	SPI1	ITGAV	HIST1H3G	IFNA21	CREB1
IL2RG	KIR2DL4	EGLN1	MMP12	ITGB2	TGFB1		KIR3DS1	IGL		MYL6B		CANX	HDAC7	PRKCB	TBX21	ITGB3	HIST1H3H	IFNB1	CRK
IL3	KIR3DL1	HDAC3	MMP13	CX3CL1	THBS1		KLRC2	IGK		FASLG		CD1A	HDAC8	PRKCE	MIR132	ITGB5	HIST1H3I	IFNG	CRKL
IL3RA	KLRB1	HIF1A	MMP14	CXCL10	CSF3		KLRC3	LYN		GZMA		CD1B	HDAC10	PRKCG	MIR155	LRP1	HIST1H3J	IL12A	CYTH1
IL4	KLRD1	HMOX1	MMP19	CXCL12			KLRD1			GZMB		CD1C	HDAC11	PRKCZ	MIR212	MBL2	HIST2H3A	IL12B	CALM1
IL4R	KIR3DS1	IRF4	MMP2	CXCL16			LCK			GZMK		CD1D	HMGB1	PRKCD	NFKBIZ	MERTK	HIST2H3C	IL15	CALM2
IL6	LILRB1	NCOR1	MMP25	CXCL2			LCP2			LAMP1		CD40LG	HSPA1A	PRKCH		P2RX7	HIST2H3D	IL18	CALM3
