IMMUNOSUPPRESSIVE_CYTOKINE_PATHWAYS	NK_INHIBITING_RECEPTORS	CORE_SIGNALING_PATHWAYS	LYTIC_GRANULES_EXOCYTOSIS	NK_ACTIVATING_RECEPTORS	IMMUNOSTIMULATORY_CYTOKINE_PATHWAYS
TGFB1	KIR2DL1	PIK3R1	PRF1	NCR1	1L2
IL2RG	KIR2DL2	PIK3R2	GZMA	NCR3	CSF2
JAK3	KIR2DL3	VAV2	GZMB	KLRK1	IFNG
JAK1	KIR3LD1	VAV3	GZMK	KIR3DS1	CCL4
JAK2	KLRC1	PAK1	PXN	KIR2DS4	TLR3
TYK2	LILRB1	MAP2K1	TUBA1A	KIR2DL4	IL15
MIF	KLRG1	MAP2K2	TUBA1B	CD226	IL15RA
SMAD3	KLRB1	MAPK3	TUBA1C	KLRC2	IL2RB
TGFBR2	KIR2DL4	MAPK1	TUBA3C	CD244	IL2RG
TGFBR1	CD244	RAC1	TUBA3D	BAG6	IL12A
SMAD4	PTPN11	PIK3CA	TUBA3E	PCNA	IL12B
TGFB2	PTPN6	PIK3CB	TUBA4A	NCR2	JAK3
TGFB3	INPP5D	PIK3CD	TUBA8	NCR3LG1	JAK1
SMAD2	CSK	PIK3CG	TUBB	FCER1G	STAT3
IL4	ABL1	VAV1	TUBB1	CD247	STAT5A
IL4R	KLRD1	RHOA	TUBB2A	TYROBP	IL2RA
IL13RA1	HLA-E	ITPR1	TUBB2B	KLRF1	IFNA
IL5	HLA-B	ITPR2	TUBB2C	SYK	STAT5B
IL13	HLA-C	ITPR3	TUBB3	ZAP70	IL6
IL10	HLA-G	PLCG2	TUBB4	FYN	STAT1
MIR1245A	KIR2DL5	PLCG1	TUBB4Q	LCK	IL18
MIR183	CDH1	MAPK8	TUBB6	DAP10	IL6ST
MIR185	CDH2	MAPK9	TUBG1	GRB2	IL6R
MIR155	CDH4	MAPK10	TUBG2	LCP2	IRF1
MIR27A	CLEC2D	ROCK1	TUBGCP2	KMT2E	IRF4
MIR150	SLAMF7	PRKCQ	TUBGCP3	MICA	STAT4
MIR378		RAP1A	TUBGCP4	MICB	IL12RB1
MIR30E		CBL	TUBGCP5	RAET1E	IL12RB2
MIR223		PRKCA	TUBGCP6	ULBP1	JAK2
MIR15A		PRKCB	LIMK1	ULBP2	TYK2
MIR15B		PRKCE	CFL1	ULBP3	IRF8
MIR16-1		PRKCG	ACTB	CLEC2B	IL18R1
MIR16-2		PRKCZ	ACTG1	PVR	IL18RAP
		PRKCD	WAS	PVRL2	MYD88
		PRKCH	TRIP10	ITGB2	TRAF6
		PRKCI	ACTR2	ADAM17	IRAK4
		INPP5D	ACTR3	ITGAL	IRAK1
		MTOR	ARPC2	ICAM1	HMGB1
		AKT1	ARPC3	LAT	IFNAR1
		PDK1	ARPC4	CD48	IFNAR2
		GAB2	ARPC5	SH2D1A	IFNB
		TSC1	ARPC1A	SH3BP2	TNF
		TSC2	ARPC1B	FCGR3A	IL21
		RHEB	WIPF1	FCGR3B	IL21R
		NFKBIA	MYH9	KIR2DS2	CXCL8
		RELA	LAMP1	KLRC3	MIR212
		NFKB1	WASF2	KLRD1	MIR132
		IKBKG	FASLG	VCAM1	MIR200A
		IKBKB	TNFSF10	ITGA4	IL2
		CHUK	GZMH	ITGB1	
		MAPK11	GZMM	HLA-E	
		MAPK12	GNLY	HLA-C	
		MAPK13		PTK2B	
		MAPK14		PTK2	
		MAP2K6		SLAMF7	
		JUN		SH2D1B	
		JUNB		PTPRC	
		JUND		ITGAM	
		JBP1		LYN	
		FOS		FN1	
		FOSB		ICAM2	
		FOSL1		ICAM3	
		FOSL2		ITGA5	
		MAF		ADAM10	
		MAFB			
		MAFA			
		MAFG			
		MAFK			
		MAFF			
		NRL			
		ATF1			
		ATF2			
		ATF3			
		BATF			
		BATF2			
		BATF3			
		JDP2			
		MAPK3K14			
		NFKBIZ			
		TBX21			
		HLX			
		RUNX1			
		SP1			
		GATA3			
		CRLK			
		CRK			
		ABL1			
		RAPGEF1			
		BCAR1			
		MTS1			
		SHC1			
		MNK1			
		EIF4E			
		ETS1			
		CDC42			
		RASSF5			
		CALM1			
		CALM2			
		CALM3			
		PPP3R1			
		PPP3PR2			
		PPP3R2			
		NFATC1			
		NFATC3			
		NFATC2			
		NFATC4			
		NFAT5			
		SOS1			
		SOS2			
		HRAS			
		RAF1			
		ARF6			
		CYTH1			
		PDL1			
		PDL2			
		PIP5K1A			
		PLA2G4A			
		PLA2G2A			
		MAP2K3			
		TBX1			
